TIMESTAMP,POWER,U10,V10,WS10,U100,V100,WS100
20120102 9:00,0.6598612559,3.2287136115,6.6678141372,7.408396382,4.5378918829,9.8979130946,10.8885787121
20120102 10:00,0.7831763776,3.1837176838,6.1396059006,6.9159828589,4.6528970888,9.599722527,10.6679015704
20120102 11:00,0.7209571906,2.4272996562,5.723467466,6.2169014352,3.5499868031,9.1318256579,9.7975836893
20120102 12:00,0.6771593401,1.8350559593,5.153814548,5.4707618088,2.6397879436,8.3769805945,8.7830680441
20120102 13:00,0.7255220876,1.0413440096,4.6154565935,4.7314730172,1.3814652175,7.8914171387,8.0114237564
20120102 14:00,0.7040544912,-0.7086327456,3.6402378636,3.7085700845,-1.3781416832,6.6354834374,6.7770874974
20120102 15:00,0.5362136516,-2.1359360013,3.0485938901,3.7223846266,-3.6352483599,5.551397442,6.6357399133
20120102 16:00,0.3750314511,-2.7610145643,2.5825526757,3.7805792873,-4.6759936693,4.7638959609,6.6752993583
20120102 17:00,0.3867492182,-2.4444215957,1.9854109383,3.1491353625,-4.6314421031,4.169120879,6.2315186639
20120102 18:00,0.573883038,-2.1489078003,1.9435433519,2.8974411978,-4.4035038571,4.2392518743,6.1124547175
20120102 19:00,0.3511556019,-2.0354045593,1.6585054404,2.6255498502,-4.1336042522,3.8816373336,5.6704314213
20120102 20:00,0.8087415981,-2.2279547003,2.0547673441,3.0308168841,-3.8481634033,3.9383845511,5.5062904437
20120102 21:00,0.5494859998,-2.6588616474,2.4717515885,3.6303031795,-4.1102923861,4.2590598653,5.9189605875
20120102 22:00,0.6702580784,-2.898029191,1.4039166827,3.2201793807,-4.2864264853,2.6701377743,5.0500581925
20120102 23:00,0.6201071133,-3.9661757627,-0.1680208797,3.9697331392,-5.1329062442,-0.1725766136,5.1358065773
20120103 0:00,0.416996154,-3.813351756,-1.2891418046,4.0253618729,-4.7164009038,-1.7411553625,5.0275301572
20120103 1:00,0.4460120053,-2.1654525391,-3.006075476,3.7048177373,-2.5247506097,-3.9132388359,4.6570166232
20120103 2:00,0.5603321232,0.0224003682,-3.6459759712,3.646044783,0.1610658307,-4.5976020134,4.6004224236
20120103 3:00,0.4095108012,2.0877800216,-3.5377188327,4.1078315396,2.6169112959,-4.4997577572,5.2053861148
20120103 4:00,0.2257736961,1.7664815167,-2.4358627745,3.008967332,2.1847163548,-3.1425103373,3.8273171767
20120103 5:00,0.0456489702,1.5761828847,-2.6637725399,3.0951634255,1.9914278664,-3.3556905603,3.9021076463
20120103 6:00,0.0019140218,0.8068493114,-2.9964331398,3.1031624793,1.1166916417,-3.7180969395,3.88217015
20120103 7:00,0.0762553467,0.4650094063,-2.3354948201,2.3813378179,0.7150654396,-2.8894271494,2.9765933271
20120103 8:00,0.4472970059,0.1456487694,-1.3830949735,1.3907427044,0.312498661,-1.6868720452,1.7155735804
20120103 9:00,0.8594407103,-0.4391997757,-0.561304954,0.7127129116,-0.4371408778,-0.7231881139,0.8450403512
20120103 10:00,0.6050106035,-1.412009483,0.658888867,1.5581737127,-1.4049941845,0.5427744413,1.5061914728
20120103 11:00,0.3749685489,-0.9608738259,1.5192482314,1.7976077709,-1.3965289952,2.4100145487,2.7854018309
20120103 12:00,0.2162125732,0.8715741007,3.2263800319,3.3420307485,0.9840703431,6.1434015315,6.2217181563
20120103 13:00,0.0067395133,1.3308488031,4.5587755836,4.7490623662,1.7511105488,7.5394586843,7.7401437588
20120103 14:00,0.1033392042,2.4416347079,5.1793914063,5.7260523388,3.4112282225,7.9548868112,8.6554434991
20120103 15:00,0.4187574135,3.3163882972,5.3476940023,6.2925561166,4.6509081624,7.9510604996,9.2114227893
20120103 16:00,0.8691815535,2.9474182409,5.4936439098,6.2343722775,4.1185418149,8.209063231,9.1842858085
20120103 17:00,0.3652097337,2.5520931806,5.124167117,5.7245321421,3.641669486,8.5457786602,9.2893535596
20120103 18:00,0.2407803458,2.3195490275,5.2801976487,5.767217258,3.1652674453,8.1330836131,8.7273115596
20120103 19:00,0.2092933396,1.7533040146,5.2867719689,5.5699221555,2.3201593831,7.7018036234,8.0436881228
20120103 20:00,0.2074601919,1.0273786833,4.9926807139,5.0972902281,1.3062178237,7.2328071327,7.349809795
20120103 21:00,0.1492307969,0.4960152934,4.8603177347,4.8855623682,0.5579891498,6.6785385529,6.7018078974
20120103 22:00,0.1054958485,0.0723973612,4.6920151388,4.6925736478,0.0021083877,6.1532406187,6.1532409799
20120103 23:00,0.131582258,-0.2299100379,4.5969066405,4.6026524187,-0.3905823368,5.8804792564,5.8934362512
20120104 0:00,0.1134844182,-0.3248655671,4.5184530866,4.5301165474,-0.5067435452,5.6940832152,5.7165875033
20120104 1:00,0.1139337191,0.4778293122,3.8381441659,3.8677734537,0.5172590269,4.7444264339,4.7725401085
20120104 2:00,0.0962043061,0.5167599271,3.7661303524,3.8014179793,0.5562590555,4.6197603906,4.6531290766
20120104 3:00,0.0825275871,0.6363611973,3.7525061175,3.8060816774,0.6990903292,4.5966515631,4.6495088859
20120104 4:00,0.0547787642,0.8751623913,3.8386307457,3.9371303271,0.974622999,4.7128038278,4.8125263541
20120104 5:00,0.0557402681,1.0449319796,3.9340003905,4.0704105339,1.1832984769,4.8508486659,4.993088029
20120104 6:00,0.0773606269,0.9787097998,4.0892193532,4.204710191,1.0809867135,5.0764637979,5.1902810103
20120104 7:00,0.0959976277,0.5368272543,4.2624417692,4.2961137482,0.5076356432,5.3409990604,5.3650689567
20120104 8:00,0.2333309371,-0.1318160888,4.1612331666,4.1633204234,-0.3534039501,5.274105086,5.2859321609
20120104 9:00,0.3461863341,-0.9746438323,3.9943362882,4.1115268433,-1.4930151764,5.3002545487,5.506522732
20120104 10:00,0.5128949355,-1.7628884456,2.8581724076,3.3581133369,-3.4333932245,4.7261826226,5.841659971
20120104 11:00,0.4837712519,-3.4015863868,2.3389917392,4.1281560415,-5.9481353306,3.842574033,7.0813620943
20120104 12:00,0.461054599,-4.0830728193,2.0942420896,4.5888270372,-6.7240839523,3.4302638996,7.548510808
20120104 13:00,0.513649761,-3.7945046538,1.6694579064,4.1455223156,-6.3300317149,2.817271843,6.928659477
20120104 14:00,0.441806549,-3.5328267068,1.437359332,3.8140354469,-6.0696938614,2.4943563845,6.5622402687
20120104 15:00,0.3736206463,-3.4866718542,1.2660832352,3.709426826,-6.1097068778,2.2693493796,6.5175505168
20120104 16:00,0.4503702239,-3.4658018339,1.0660989291,3.6260652612,-6.179603033,1.9908271951,6.4923714132
20120104 17:00,0.6373333094,-3.4043958126,0.906500748,3.5230178051,-6.154784833,1.7335894571,6.3942715571
20120104 18:00,0.5318464469,-3.20492658,0.9074739076,3.3309252883,-5.875706706,1.7494007601,6.1306061947
20120104 19:00,0.4674885878,-2.9946209907,0.9882461578,3.1534719511,-5.5044466931,1.9482583023,5.8390618947
20120104 20:00,0.21861184,-3.1607784601,0.8933630928,3.284603186,-5.5773818116,1.8272410213,5.8690712743
20120104 21:00,0.1811401459,-3.5649344304,0.735711231,3.6400588606,-5.2314464927,1.2136408376,5.3703776858
20120104 22:00,0.2376621976,-3.6167081346,0.5999554611,3.6661320607,-4.7122902674,0.7891681634,4.7779143937
20120104 23:00,0.1639229359,-3.064856636,0.3396352572,3.0836177304,-3.793510372,0.3926693331,3.8137789851
20120105 0:00,0.0877754214,-2.0675104729,-0.1308874291,2.0716493609,-2.4219249493,-0.2324852644,2.4330577179
20120105 1:00,0.0285485784,-1.3492817181,-0.4217711571,1.4136661784,-1.4543579812,-0.6070154969,1.5759520776
20120105 2:00,0,0.0013279021,-0.138736249,0.1387426038,0.2668196069,-0.2333517026,0.3544653999
20120105 3:00,0,1.4895644093,0.8067207844,1.6939895376,1.9248184636,0.8244130323,2.0939395802
20120105 4:00,0,2.4646159141,1.9161620362,3.1218597907,3.0815206574,2.2062855399,3.7899162848
20120105 5:00,0.0185291686,2.8033180157,3.0149489462,4.1168566948,3.4777162532,3.6360052407,5.0314058123
20120105 6:00,0.030857985,2.6745552333,3.7741866129,4.6257680751,3.3188837416,4.6738336451,5.7323389844
20120105 7:00,0.2951277812,2.015345771,4.2916170422,4.7412651701,2.4816179372,5.3995160749,5.9424911804
20120105 8:00,0.4049099601,1.2315723126,4.9785904771,5.1286580603,1.4459591072,6.4424709642,6.6027441162
20120105 9:00,0.6090093814,1.1345336939,5.7498721824,5.8607334709,1.3379057629,7.9940870857,8.1052711345
20120105 10:00,0.4263236404,0.9329919475,4.8650985745,4.9537519229,1.0462207789,7.6733969696,7.7443914526
20120105 11:00,0.6743646885,-1.4990384325,3.7380544969,4.027426926,-3.0202457903,6.295511728,6.9825033155
20120105 12:00,0.5551202329,-4.3308865827,3.2396165901,5.4084835437,-6.714134981,4.9831315724,8.3612922931
20120105 13:00,0.4449336832,-4.5678847474,2.554032852,5.2334171318,-7.0565991323,4.0535289621,8.1379781494
20120105 14:00,0.5994572445,-4.7885542985,1.9782351584,5.1810873967,-7.5732476364,3.3346818456,8.274912856
20120105 15:00,0.7288738723,-4.9565057539,1.5562305737,5.1950748683,-7.9871568952,2.765072403,8.4522364296
20120105 16:00,0.7976618382,-5.2345587189,1.203247595,5.371071565,-8.4671971625,2.2359052309,8.757436839
20120105 17:00,0.68722368,-5.3385953148,0.9818225769,5.4281281772,-8.6673615543,1.878190501,8.8685261386
20120105 18:00,0.617420294,-5.4533621427,0.7918973522,5.5105589622,-8.8456790952,1.5580699943,8.9818495179
20120105 19:00,0.7114230258,-5.5718612251,0.5269285021,5.5967214651,-9.0493862197,1.0875725947,9.1145052033
20120105 20:00,0.5110258438,-5.6749647574,0.1859895621,5.678011722,-9.1846005139,0.4695463495,9.1965950424
20120105 21:00,0.4052154847,-5.9310907268,-0.1906182616,5.9341530593,-9.0936703772,-0.258414518,9.0973413145
20120105 22:00,0.3939110744,-5.9805430998,-0.7275044457,6.0246293236,-8.1837785545,-1.0940315703,8.2565814055
20120105 23:00,0.3723356457,-5.9348229814,-1.4381027256,6.1065754126,-7.785221137,-2.0452793393,8.0493997123
20120106 0:00,0.3219510442,-5.5639301841,-2.3265821916,6.0307796998,-7.1168255865,-3.1987384605,7.8026363601
20120106 1:00,0.3263362208,-4.381405217,-3.1293984434,5.3842219766,-5.4225922001,-4.1626265882,6.8360782823
20120106 2:00,0.3233528629,-2.7926760027,-3.5416952104,4.5102820554,-3.3017946327,-4.5750268133,5.6420491082
20120106 3:00,0.2310664606,-0.9605564469,-3.5995614233,3.7255215914,-0.9256646051,-4.5178152214,4.6116709917
20120106 4:00,0.0487221883,0.4393097937,-3.3425389943,3.3712846251,0.7933688742,-4.1054149963,4.1813713614
20120106 5:00,0.0471945653,1.1283374405,-3.0054683041,3.2102936169,1.6085869701,-3.6536818017,3.9921100622
20120106 6:00,0.128535998,1.5179602681,-2.631266794,3.0377242003,2.042959782,-3.200756699,3.7971737012
20120106 7:00,0.0981003558,1.9586405401,-1.6846719946,2.5834845644,2.5210159786,-2.0618884473,3.2568244555
20120106 8:00,0.0837586715,1.9938354774,-0.4593549364,2.0460661936,2.5142481303,-0.6065685778,2.5863814684
20120106 9:00,0.0143416843,0.8705717022,0.5899523909,1.0516363022,1.8233123403,1.0871329247,2.1228108456
20120106 10:00,0,-1.2773108831,1.2139430533,1.7621523285,-1.0222602588,1.594885803,1.8943803106
20120106 11:00,0.0658675102,-2.123972193,-0.2881673899,2.1434314361,-4.5433871743,-1.5875089976,4.8127488854
20120106 12:00,0.3220049603,-2.722286128,-1.7184272855,3.219290931,-5.0657420147,-4.6489251195,6.8756270206
20120106 13:00,0.61742928,-2.9869917131,-2.4065530006,3.8358332653,-5.3007709299,-5.6596632435,7.7543510677
20120106 14:00,0.665998706,-3.0311093107,-2.9379577224,4.2212817049,-5.1949463922,-6.5035342243,8.3236665854
20120106 15:00,0.7164372237,-2.759959582,-3.7476024846,4.6542347682,-4.4935512002,-7.7466944405,8.9556282383
20120106 16:00,0.8603752561,-2.449153586,-4.5379585092,5.1566869906,-3.8081527406,-8.8277551462,9.6141192117
20120106 17:00,0.9142913626,-2.3743023812,-5.2709305393,5.7810051503,-3.5823527095,-9.7479082496,10.3853245581
20120106 18:00,0.9709212465,-1.784415403,-5.836090552,6.1027937259,-2.6446980844,-10.4123970516,10.7430182127
20120106 19:00,0.984822616,-0.0539150325,-6.1177061214,6.117943692,0.3946810808,-10.6090618988,10.6164008745
20120106 20:00,0.9663563495,0.5875250933,-5.7372357716,5.7672402442,1.6848790787,-9.5530312646,9.7004754447
20120106 21:00,0.9746414579,1.2081456788,-4.7115571479,4.8639887684,2.5776198012,-7.6185643127,8.0428008819
20120106 22:00,0.939793681,1.1546097177,-4.8229496077,4.9592304362,2.465642674,-7.5732718025,7.9645363701
20120106 23:00,0.9552047015,1.8208350107,-5.7734021547,6.053727164,2.7049784018,-7.8480066345,8.301091271
20120107 0:00,0.9174364689,3.3471056038,-4.8909424079,5.9265870078,4.486768293,-6.4880394182,7.8883296843
20120107 1:00,0.9739225765,3.7863273811,-4.6207107214,5.9738800296,6.3381236095,-7.4794989924,9.8038113031
20120107 2:00,0.8880252327,4.315618499,-5.4018685795,6.9140977126,6.1082911462,-7.7838448144,9.8944156383
20120107 3:00,0.8830649509,3.6985099188,-4.7444091525,6.0156789996,5.8509981809,-7.0784451523,9.1836030776
20120107 4:00,0.9745246397,3.982007596,-5.112785799,6.4805063939,5.7751833164,-7.198476869,9.2288033662
20120107 5:00,0.9662934474,5.298314993,-6.0656715157,8.0538507995,7.2735715832,-8.4534056228,11.1519016405
20120107 6:00,0.9695553718,4.4315948215,-5.6279693748,7.1633143129,6.6204892072,-8.370919372,10.6725427371
20120107 7:00,0.9758096402,6.4962597233,-4.9029968847,8.1388432129,9.1128282565,-6.980030522,11.4788703678
20120107 8:00,0.9707612954,5.7269023905,-2.7135799647,6.3372649633,8.397661267,-4.1225930194,9.3550247439
20120107 9:00,0.8329319579,5.1384299393,-1.8712525528,5.4685508462,7.6890609193,-2.9473061629,8.2345777936
20120107 10:00,0.5545001977,4.6263204988,-1.2396202708,4.7895197853,7.251483788,-2.1144794649,7.5534787043
20120107 11:00,0.3862010711,4.6244114236,-1.2912745607,4.8013093012,7.0359785433,-1.9654353428,7.3053357314
20120107 12:00,0.4523022177,3.9700758756,-2.1381330507,4.5092255877,6.1769424015,-3.0866794832,6.9052304569
20120107 13:00,0.2660580137,3.5018751663,-1.6147935344,3.8562530828,5.6247475223,-2.129270103,6.0142809929
20120107 14:00,0.3310269221,4.1686197034,0.9978260767,4.2863792543,6.1996271641,2.0451030592,6.5282328004
20120107 15:00,0.2773534381,5.071612305,3.1437446474,5.9669407387,7.275959453,5.0538601667,8.858955274
20120107 16:00,0.2817745588,4.4864807355,2.5528920679,5.1619538259,6.9130032513,4.3786106514,8.1830217639
20120107 17:00,0.4748571223,4.5785936171,1.8605433399,4.9421797853,7.0192634551,3.2152700795,7.7206231054
20120107 18:00,0.6392563172,5.2744515521,1.8401534886,5.5862334392,8.0281384235,3.0099077585,8.5738294398
20120107 19:00,0.4593652277,5.9531278097,1.6788471096,6.1853260493,9.0453709361,2.68394485,9.4351627082
20120107 20:00,0.7767334028,6.3492609277,1.591397303,6.545659608,9.3372880128,2.4660673737,9.6574549301
20120107 21:00,0.6454746415,6.8938246478,1.4853700763,7.0520310931,9.6936775727,2.1702546122,9.933649378
20120107 22:00,0.9176611193,6.9830739165,1.0490272588,7.0614289994,9.5551811273,1.4830588122,9.6695889166
20120107 23:00,0.9244365767,7.2656170561,0.9212508575,7.3237896166,9.7354652933,1.2845229396,9.8198413255
20120108 0:00,0.9490672514,7.7848855289,1.5166345149,7.9312434681,10.3181055118,2.0507917662,10.5199357517
20120108 1:00,0.9777955501,8.3318986931,1.03933166,8.3964722433,11.1397959119,1.4572189685,11.2347024919
20120108 2:00,0.9911218145,9.0109222619,0.109705588,9.0115900554,12.2178546159,0.3067531068,12.2217048272
20120108 3:00,0.9920743323,9.9112995929,0.3245414256,9.9166116571,13.5593790381,0.4665062861,13.5674016677
20120108 4:00,0.9948689839,10.4301387294,1.4091882527,10.5249040587,14.1158831571,1.9887171886,14.2552851028
20120108 5:00,0.9889921282,9.3964210605,2.1075293395,9.6298706462,12.616279304,2.8123875732,12.9259439632
20120108 6:00,0.9925685633,9.2146733393,2.2261625862,9.4797681728,12.4017429335,2.9903635486,12.7571745282
20120108 7:00,0.9949768161,8.989358973,2.5631208836,9.3476287586,12.2597940568,3.4404666128,12.7333954948
20120108 8:00,0.9900524783,8.3618232574,2.8377718035,8.8302342549,11.6495214238,3.9622460083,12.3049072664
20120108 9:00,0.9889921282,7.8399036511,3.1846992813,8.462056415,11.0521532342,4.5696725456,11.9595985839
20120108 10:00,0.9850562525,6.7247735647,3.1607732483,7.4305495775,9.9633408275,4.7834866867,11.0521448292
20120108 11:00,0.9510082312,6.3265128196,3.378101381,7.171912813,9.4783488319,5.1436906233,10.7840924425
20120108 12:00,0.9884260091,5.8045932133,3.3352339053,6.6945565629,8.647625292,5.1121044434,10.0456475665
20120108 13:00,0.9729161425,5.5132687787,3.0984658709,6.3242883694,8.3411447626,4.8794600796,9.6635307533
20120108 14:00,0.9555551562,5.7214205273,3.2938618066,6.6018314467,8.6567659393,5.1145341495,10.0547529107
20120108 15:00,0.9218486036,5.7161397218,2.623434425,6.2894086766,8.7798958362,4.1973200782,9.7316014475
20120108 16:00,0.8772869415,5.6800542178,2.0581818965,6.0414508718,8.6250425161,3.3208035849,9.2422451198
20120108 17:00,0.8461863341,5.5229502554,1.8582998295,5.8271998232,8.3551245763,2.9934006813,8.8751650308
20120108 18:00,0.8502749721,4.9904690381,1.819918485,5.3119567499,7.7308721297,2.9909709752,8.2892877414
20120108 19:00,0.674086122,4.5037548015,1.7546203534,4.8334769987,7.310940036,3.1239973868,7.9504216167
20120108 20:00,0.5401315553,5.0881639391,2.423552358,5.6358689041,7.6190336208,3.7672620898,8.4995256907
20120108 21:00,0.4464882643,5.293675285,3.2559789211,6.2148529152,7.2921210562,4.5040704796,8.5709789629
20120108 22:00,0.4250566119,4.3976986252,2.8806392792,5.2571699473,5.8817729362,3.9895802025,7.1071796843
20120108 23:00,0.5010783221,4.2353138573,3.0027617391,5.1917686323,5.5134586158,4.0333149132,6.8312411096
20120109 0:00,0.3880521908,4.2656784887,2.9125406565,5.1651627317,5.4978657468,3.8923919565,6.7362632752
20120109 1:00,0.3084270875,3.5292824551,1.9980018794,4.0555944272,4.4204128107,2.5855162571,5.1210295579
20120109 2:00,0.3216994357,3.9527514377,1.4410460858,4.2072387322,4.9420298054,1.910531409,5.2984704266
20120109 3:00,0.4738057582,4.8150807117,1.6036356653,5.0751009455,6.0287318776,2.0755008481,6.3759949672
20120109 4:00,0.5727867438,5.6923853132,2.2693139741,6.1280532363,7.2303495712,2.9233108231,7.7989551281
20120109 5:00,0.7835897344,5.8854006452,2.7294078905,6.4874962957,7.5211360567,3.5469315601,8.3155403358
20120109 6:00,0.8683728119,5.5563594219,3.1000528286,6.3626612015,7.1329211095,4.0533212672,8.2041438828
20120109 7:00,0.9034901693,5.3937107263,3.6001763983,6.484858171,7.0299966834,4.7971944526,8.5108124162
20120109 8:00,0.9209230437,5.3067706306,3.5833738278,6.4033102779,7.0699673343,4.9301368578,8.6192045773
20120109 9:00,0.9300977679,4.9623380986,3.4385752053,6.0372674984,6.8266459968,4.9506825022,8.4328140501
20120109 10:00,0.8549836454,4.1765493873,3.3204630184,5.335638616,6.1831185168,5.2884770681,8.1362733664
20120109 11:00,0.8663239999,3.6091508683,3.7563414656,5.2092294244,5.3907003621,5.9537933777,8.0316440396
20120109 12:00,0.7531990223,2.9980743109,3.8126794961,4.8502550978,4.5123453079,6.1012385907,7.5885685421
20120109 13:00,0.7281549908,2.5234396261,3.3367713957,4.1835141799,3.9082888457,5.6401701582,6.8619414975
20120109 14:00,0.5251338917,2.5775171976,2.9152245528,3.8912888735,4.1016468695,5.2081073413,6.6293204117
20120109 15:00,0.4062129327,2.6636253306,2.6004234521,3.7225128652,4.279016633,4.7144075911,6.3667591663
20120109 16:00,0.5443010675,2.7909156141,2.3073668544,3.6212086057,4.5223379706,4.2636119808,6.2152978885
20120109 17:00,0.676611193,2.5879167305,2.0513747505,3.302340287,4.406922716,4.0569469691,5.9899738343
20120109 18:00,0.609818123,2.5658697206,1.9495709408,3.2225012454,4.4284069409,3.9409245064,5.9280413291
20120109 19:00,0.4557528486,2.6216112174,1.8448019717,3.205641853,4.4089212486,3.6834996673,5.7451506834
20120109 20:00,0.2650965098,2.737254024,1.7682020178,3.2586957464,4.5028522783,3.4115720203,5.6492921937
20120109 21:00,0.3103321232,3.3167160012,2.6453950379,4.2424898278,4.5742998168,3.8605547796,5.9856580274
20120109 22:00,0.26010927,3.723545731,3.3812487882,5.0296755541,4.9375331071,4.6032193977,6.7504712434
20120109 23:00,0.2508806297,4.4910312643,3.2018566382,5.5155460064,5.935300481,4.3312917507,7.3476445226
20120110 0:00,0.2640541318,4.7701547293,3.1642979512,5.724260447,6.2390774281,4.2176864227,7.5309339337
20120110 1:00,0.3038981345,5.7598246116,2.9045322872,6.4507276616,7.7033116376,3.9796595489,8.6705651668
20120110 2:00,0.1758923116,6.2818821512,2.9701197134,6.9486440745,8.2370021934,3.9889412034,9.1520411416
20120110 3:00,0.3498616153,6.6582872739,3.4674161574,7.5070476374,8.7507974815,4.682881369,9.925010553
20120110 4:00,0.5018601057,6.7122932262,3.614763252,7.6237388283,8.8313733156,4.8941755028,10.0968365586
20120110 5:00,0.8548668272,6.4475822324,2.6763239823,6.9809760565,8.4439129774,3.611123269,9.1836745169
20120110 6:00,0.8611210956,6.3661641678,2.603099664,6.8778029975,8.3349863868,3.5002893952,9.0401340652
20120110 7:00,0.9441968297,6.2667441191,2.703726948,6.8251169414,8.3240439895,3.7028478542,9.1104769673
20120110 8:00,0.9814169153,6.2417868229,3.1691281368,7.0002339883,8.4389391604,4.4044317353,9.5191760707
20120110 9:00,0.9841127206,5.5184343699,3.4633730969,6.5152184233,7.8162172818,5.0809005513,9.3224890994
20120110 10:00,0.9883002049,4.6580213559,3.3317490155,5.726928885,7.0199091925,5.3009303599,8.7965327119
20120110 11:00,0.9488515869,4.2619777051,3.5788249362,5.5652890206,6.5429201497,5.8949562452,8.8068333252
20120110 12:00,0.98278279,3.9289409988,3.9822325304,5.5941713683,5.9764024022,6.4960798663,8.8270289057
20120110 13:00,0.9712267711,3.7955626618,3.4921237495,5.1576374632,5.7431303886,5.8075994974,8.1677266471
20120110 14:00,0.9289205995,3.9534891589,2.6107365561,4.7377232818,6.1221352381,4.5917027635,7.652729849
20120110 15:00,0.8802792854,4.3401226816,2.5096600431,5.0134876507,6.8264277143,4.5469324302,8.202116182
20120110 16:00,0.9494895942,4.6612944439,2.6372410639,5.3556238032,7.3103801008,4.7025366373,8.6922671406
20120110 17:00,0.9582240035,5.0090600463,2.8632032241,5.7696286926,7.7246990504,4.9007272589,9.1481201941
20120110 18:00,0.9587541785,5.4419259374,3.3816134286,6.4070170351,8.1569237409,5.4838335507,9.8289284934
20120110 19:00,0.938742317,5.4222874092,3.4476500838,6.4255343629,8.709514801,6.273866139,10.7339202717
20120110 20:00,0.9721163869,5.6137630586,4.161924109,6.9882721732,8.3031539585,6.4726027403,10.5279129884
20120110 21:00,0.978739082,5.8752009644,5.0572373998,7.7520085455,8.3484156925,7.42752119,11.1742613001
20120110 22:00,0.978730096,6.100634902,5.3128486705,8.0897532226,8.3573685629,7.4520902754,11.1972880095
20120110 23:00,0.9045864635,5.6194909626,5.4678326571,7.8406551158,7.4924218001,7.4679236859,10.5785759254
20120111 0:00,0.9140217821,5.0618385907,5.6295550779,7.5706076568,6.6359305261,7.5181538159,10.0278716958
20120111 1:00,0.8856529241,3.9615619788,6.0132184639,7.2008867236,5.1422611289,7.8674639143,9.3989274899
20120111 2:00,0.7854857841,3.6283068535,5.7731212954,6.8186171703,4.6395341223,7.478857959,8.8010563709
