TIMESTAMP,U10,V10,WS10,U100,V100,WS100
20131101 21:00,-0.7130046463,-0.1603428105,0.7308114959,0.7497961409,-0.6296807841,0.9791282565
20131101 22:00,-0.125808566,-1.3371029094,1.3430085575,0.5605774634,-1.972204219,2.0503259677
20131101 23:00,0.6620630492,-1.7100302226,1.8337204921,0.8987555253,-2.1348776715,2.3163471601
20131102 0:00,1.8999483928,-1.3744447748,2.3449738451,2.365919192,-1.6892396696,2.9070783072
20131102 1:00,3.3643410336,-2.5290167146,4.2088853789,4.2227800166,-3.2420197118,4.2088853789
20131102 2:00,4.2011904899,-1.9039780343,4.6124975759,5.2827015875,-2.4705021296,5.8318364891
20131102 3:00,5.0486097088,-1.0151661025,5.1496623392,6.4226063823,-1.348972945,6.5627433858
20131102 4:00,5.7287509473,0.4160388567,5.7438380676,7.3576620569,0.4582805693,7.3719205113
20131102 5:00,5.8454778896,1.2345772393,5.9744282335,7.6298351856,1.5605373567,7.7877892756
20131102 6:00,5.4314189329,1.3968992402,5.608176095,7.1539637746,1.8185388044,7.3814823085
20131102 7:00,4.8330784649,1.678488321,5.116245742,6.5117963082,2.2288543597,6.8826799225
20131102 8:00,3.3211428739,3.5981439354,4.8965936904,4.9127072498,5.6587193884,7.493717211
20131102 9:00,1.8997395963,4.5389187028,4.9204464761,3.199109835,8.1883769563,8.7911217097
20131102 10:00,1.6014884721,4.2147695852,4.5087745544,2.7451043413,8.0528484849,8.5078767366
20131102 11:00,1.4236407293,3.842616705,4.0978599376,2.4527915519,7.601501374,7.9874282179
20131102 12:00,1.0229088644,3.2888413422,3.4442444627,1.6051995465,6.8859359131,7.0705571904
20131102 13:00,2.6442185196,3.7025644909,4.5498214677,4.4425900275,7.1632097581,8.4290082567
20131102 14:00,3.0178366459,4.4325186108,5.3623277833,4.505886104,7.313658795,8.5902627755
20131102 15:00,1.1465291301,3.1581919268,3.3598668564,1.9751938842,6.133069038,6.4432853969
20131102 16:00,1.6547968394,3.384353983,3.7672542338,3.0656126556,6.9232373272,7.5716045884
20131102 17:00,2.3298829742,4.008402895,4.6363399834,3.548964512,6.9530784585,7.806436393
20131102 18:00,2.2292404531,4.5567345322,5.0728042141,3.1594059325,7.250246391,7.9087242067
20131102 19:00,1.5013055059,4.3266134029,4.5796835873,2.0672609045,6.8846925326,7.1883627424
20131102 20:00,1.1304447089,3.8015413207,3.9660587051,1.434875559,5.6543675568,5.8335872614
20131102 21:00,0.6382614207,4.2612886952,4.3088233875,0.7219315708,5.9391016846,5.9828182333
20131102 22:00,0.2991099112,4.9402697477,4.9493163083,0.2414568087,6.590011361,6.5944333441
20131102 23:00,-0.0878353069,4.881378534,4.8821687223,-0.2424704666,6.3624727349,6.3670912691
20131103 0:00,-0.3451860458,4.7843812408,4.7968174098,-0.5739117396,6.1374208697,6.1641957802
20131103 1:00,-0.093065646,4.3366375289,4.3376360234,-0.2476727826,5.46326301,5.468874155
20131103 2:00,0.9539600711,4.3142652208,4.4184753267,1.0501868853,5.3981994953,5.4994045391
20131103 3:00,1.9509785897,5.150030729,5.5071892983,2.3240227075,6.531499695,6.9326452247
20131103 4:00,1.8764142849,5.4589816498,5.7724701144,2.2542391555,6.974329943,7.3295888236
20131103 5:00,1.6781714626,5.3417933695,5.5991977872,2.0008447822,6.8402194331,7.1268493555
20131103 6:00,1.6754925055,5.3332705855,5.5902638823,1.9911208447,6.8873572856,7.1693969479
20131103 7:00,1.4785891617,5.3657636996,5.5657565513,1.7331505008,7.0227956223,7.2334963199
20131103 8:00,1.247305869,5.3892013556,5.5316600747,1.4711761826,7.2930083823,7.439914692
20131103 9:00,1.0704947031,4.8954125563,5.0110900018,1.2400896662,7.5751715837,7.6760046185
20131103 10:00,0.7481268704,4.384045515,4.4474204761,0.7842085929,7.4118488836,7.4532199076
20131103 11:00,-0.7378013115,3.8396526855,3.9098955895,-1.7102673929,6.7605498233,6.9735248238
20131103 12:00,-3.6641154053,3.4875551706,5.0585356351,-5.8566687735,5.6272496235,8.1219768189
20131103 13:00,-4.2092831667,3.0204000714,5.1808186002,-6.564228231,4.8232504777,8.1457251021
20131103 14:00,-4.7446280856,2.7780334007,5.4980874171,-7.405062833,4.4700485408,8.6496410051
20131103 15:00,-5.2996186896,2.6693679045,5.9339264627,-8.2481854202,4.3206680224,9.3113229396
20131103 16:00,-5.6831560418,2.5985222623,6.2490463707,-8.8436335975,4.2323675382,9.8042230791
20131103 17:00,-5.9510517477,2.5143597701,6.4604196425,-9.2875027479,4.1347722661,10.1663193431
20131103 18:00,-6.1814420547,2.4019655558,6.6317165506,-9.6718842802,3.9754330465,10.4570269885
20131103 19:00,-6.4020095192,2.1537394711,6.7545776769,-9.9973501908,3.6009858803,10.6261051259
20131103 20:00,-6.6833000104,1.734525032,6.9047140502,-10.3760117598,2.9603094346,10.7900441143
20131103 21:00,-7.0909479761,1.1789460485,7.1882860951,-10.4229154587,1.9730701862,10.6080239733
20131103 22:00,-7.6981782428,0.5487927049,7.7177147972,-10.5922263718,0.8185247572,10.6238054523
20131103 23:00,-7.2213238863,-0.0829586608,7.2218003857,-9.6427124675,-0.0757666131,9.6430101271
20131104 0:00,-6.4667509815,-0.3237273094,6.4748488498,-8.4495281276,-0.4143624549,8.4596821349
20131104 1:00,-6.113967087,-0.0119058411,6.1139786792,-7.8855449901,-0.0119315621,7.8855540169
20131104 2:00,-5.4235789239,0.0055335141,5.4235817467,-6.9051684437,-0.0107035012,6.9051767392
20131104 3:00,-4.8473958465,0.1179204698,4.8488299341,-6.1231365966,0.1292954492,6.1245015384
20131104 4:00,-4.2258991383,0.2157746295,4.2314042844,-5.28800102,0.234294662,5.2931889043
20131104 5:00,-3.9017040564,0.3533517649,3.9176717593,-4.8504625983,0.392714527,4.866334567
20131104 6:00,-3.8217604964,0.4482993654,3.8479638269,-4.7583253581,0.5228889896,4.7869690942
20131104 7:00,-3.8291285665,0.5122436677,3.8632394637,-4.8195988922,0.6186777451,4.8591455663
20131104 8:00,-3.9293343191,0.6536962154,3.9833386666,-5.1663617078,0.8532373901,5.2363448453
20131104 9:00,-3.1221622458,0.5330740087,3.1673435222,-5.8299313887,1.0263939866,5.9195932811
20131104 10:00,-3.4430416962,0.5543887761,3.4873891433,-7.0109220248,1.1903401259,7.1112542673
20131104 11:00,-3.993804932,0.5994404437,4.038540167,-7.8782829416,1.2578834792,7.978070754
20131104 12:00,-4.3795233987,0.3620714425,4.3944648058,-8.4206671884,0.8077991343,8.4593247567
20131104 13:00,-4.6502999728,-0.0540509495,4.6506140823,-8.8150871972,0.0599100045,8.8152907781
20131104 14:00,-4.8639740041,-0.5002077865,4.8896268715,-9.0760670648,-0.8169255269,9.112758127
20131104 15:00,-4.9803895108,-0.9497556093,5.0701395835,-9.1509569399,-1.7373572227,9.3144201664
20131104 16:00,-5.2161677522,-1.2917607417,5.3737372314,-9.3778959553,-2.3544578593,9.668940188
20131104 17:00,-5.4217369064,-1.5959806045,5.6517594758,-9.5776022889,-2.8812960147,10.0016164857
20131104 18:00,-5.2743755055,-1.7766717013,5.5655726846,-9.3225228356,-3.3240119938,9.8973980295
20131104 19:00,-4.9851787563,-1.9239373674,5.3435514619,-8.872275829,-3.7716402168,9.6406715695
20131104 20:00,-4.765610269,-2.0745940192,5.1975938261,-8.4624239672,-4.1597074828,9.4295167291
20131104 21:00,-5.1679068934,-2.6069787791,5.7882294368,-8.0625574221,-4.5852306083,9.2751912065
20131104 22:00,-5.3587399075,-3.2735496887,6.279508019,-7.3694856691,-4.7442645037,8.7645515977
20131104 23:00,-5.1373294027,-3.8383910264,6.4129087833,-6.7603813518,-5.1851383913,8.5198835766
20131105 0:00,-4.3301573294,-3.7226130849,5.7103511869,-5.5544274241,-4.8750529968,7.390386034
20131105 1:00,-3.5520364351,-2.3322396045,4.2492710444,-4.4113594214,-2.9845569999,5.326131094
20131105 2:00,-2.7252828956,-2.0737237358,3.4245433263,-3.3028162265,-2.609858845,4.209508073
20131105 3:00,-2.2049747797,-1.7555838366,2.8185081846,-2.6105244288,-2.1965888213,3.411721009
20131105 4:00,-1.9145861398,-1.3943579594,2.3685173011,-2.227134984,-1.7419917951,2.8274839789
20131105 5:00,-1.7410362232,-1.011806699,2.0136931064,-2.010246098,-1.2813334753,2.3838844035
20131105 6:00,-1.4520141181,-0.6941020118,1.6093857841,-1.6548988525,-0.8884514393,1.87830673
20131105 7:00,-1.400769064,-0.4429847453,1.469145825,-1.5961854975,-0.5881418887,1.7010934788
20131105 8:00,-2.0454318446,-0.3972874958,2.0836575498,-2.4961648344,-0.5600395271,2.558218746
20131105 9:00,-2.7286992325,-0.4325396597,2.7627685496,-5.6750110318,-1.0554125289,5.7723171965
20131105 10:00,-3.3644795371,-0.4734495783,3.3976281519,-7.0972763325,-1.358477213,7.2261187146
20131105 11:00,-3.2531069528,-0.7794035443,3.3451718538,-6.914563877,-2.1051183893,7.2279123571
20131105 12:00,-3.0665749559,-1.173270314,3.2833588275,-6.5359941851,-3.0512312304,7.2131291414
20131105 13:00,-2.9114732588,-1.6093526381,3.326663862,-6.0991492977,-4.0518957147,7.3223958537
20131105 14:00,-2.7208416576,-1.9779771177,3.3638330523,-5.6307569358,-4.8828439759,7.4530254906
20131105 15:00,-2.4526592078,-2.3152663404,3.372831958,-4.9301401103,-5.7005675962,7.5367600749
20131105 16:00,-2.0467983793,-2.4810820745,3.2163880154,-4.006938327,-6.2273491199,7.4050949904
20131105 17:00,-1.7150720625,-2.5990244994,3.1139043865,-3.1744355324,-6.5948839277,7.3191211883
20131105 18:00,-1.6914993376,-2.7165317125,3.2001116471,-2.9264373314,-6.8500092891,7.4489370191
20131105 19:00,-1.6525530965,-2.8984502868,3.3364570733,-2.7853500157,-7.1745640144,7.6962681546
20131105 20:00,-1.4602133267,-3.1016942443,3.4282255096,-2.3270353193,-7.480383832,7.8339795539
20131105 21:00,-1.3891535184,-3.8332854487,4.0772324963,-1.7889756184,-7.3624641186,7.5766952994
20131105 22:00,-1.0656264102,-4.0465392798,4.184499945,-1.281587073,-6.2069611321,6.3378886011
20131105 23:00,-0.6966620207,-4.595776698,4.6482794052,-0.7479089657,-6.0703065109,6.1162070728
20131106 0:00,-0.217349948,-4.6253711073,4.6304750166,-0.1458779974,-5.9143659552,5.9161647241
20131106 1:00,0.6984705879,-3.767047054,3.8312536681,0.9821831836,-4.6764888216,4.77851771
20131106 2:00,1.101751301,-3.0591463732,3.2514969571,1.4293571776,-3.7461054434,4.0095346282
20131106 3:00,1.6076931624,-2.3547501512,2.8512322913,1.9989212103,-2.8672736508,3.495274552
20131106 4:00,2.1201325648,-1.6944099829,2.7140352397,2.5933871123,-2.078657133,3.3236233527
20131106 5:00,2.4298486871,-1.2378290628,2.7269736762,2.9700941144,-1.5484122526,3.3494834754
20131106 6:00,2.5247127861,-0.9264328652,2.6893219417,3.1014912121,-1.1771180944,3.3173565903
20131106 7:00,2.5143167204,-0.6190417633,2.5894017215,3.1200351574,-0.8144158672,3.2245763424
20131106 8:00,2.0274343128,-0.3657194547,2.0601554825,2.9584379202,-0.6186425838,3.0224284233
20131106 9:00,2.0109738755,-0.4658468494,2.0642260571,2.348077208,-0.8966529204,2.5134544027
20131106 10:00,1.2000807552,-1.3765055046,1.8261876199,1.7287094366,-1.7300702209,2.4457267397
20131106 11:00,-0.1375463577,-2.8418699266,2.8451965978,0.9488040821,-3.1956081543,3.3334877624
20131106 12:00,-0.8999245049,-2.5254673592,2.6810165044,-0.2125767176,-5.8517422314,5.8556021043
20131106 13:00,-1.2092074579,-3.5617858948,3.7614493798,-1.0173839414,-8.1777006769,8.2407438041
20131106 14:00,-1.1277716103,-4.3102381705,4.4553363387,-1.2547464406,-9.0467131198,9.1333130299
20131106 15:00,-1.0688605717,-4.6466662168,4.7680152949,-1.3066694873,-9.4020508348,9.4924151326
20131106 16:00,-0.7123621539,-4.4699413651,4.5263490415,-0.5198763817,-9.1792743399,9.1939843844
20131106 17:00,0.1379493819,-3.6023374897,3.604977867,0.6208411647,-8.1083515201,8.1320851031
20131106 18:00,1.4968017955,-2.1069348492,2.5844902928,3.0342031822,-5.828421276,6.5709119247
20131106 19:00,1.6951933815,-1.4300736608,2.2178348171,4.0795518673,-4.2775777426,5.9110417679
20131106 20:00,2.1534866087,-0.987510576,2.3691098986,5.1598691349,-3.1759694551,6.0589629037
20131106 21:00,2.8482903293,0.1529404501,2.8523934829,5.3320629122,-0.3823644831,5.3457550915
20131106 22:00,1.8719264975,-0.3361818732,1.9018746183,2.9239991647,-0.8549206844,3.046417649
20131106 23:00,1.461715074,-0.6605946322,1.604056179,1.978787784,-0.9696843333,2.2036081322
20131107 0:00,1.2802170946,-2.4023106637,2.7221411305,1.6577126177,-3.1084614263,3.5228601394
20131107 1:00,3.5883837783,-0.0726190834,3.589118509,4.4405343946,-0.2937309986,4.4502386014
20131107 2:00,3.9141610411,1.3986137155,4.1565342512,4.9404042675,1.6393269011,5.2052845278
20131107 3:00,3.3514946664,0.7240464137,3.4288131632,4.1582299653,0.7479233236,4.2249574841
20131107 4:00,3.5708688716,1.7265634135,3.9663743796,4.430982741,2.1001800255,4.9035052962
20131107 5:00,3.9224806218,2.5287788285,4.66696653,4.9579156325,3.1733996302,5.8865433517
20131107 6:00,3.8559239767,4.0000116274,5.5559196119,4.8730120447,5.0837305265,7.0420566921
20131107 7:00,4.4448627113,5.5988925396,7.148734307,5.9942700505,7.725744671,9.7784663501
20131107 8:00,3.3133997445,5.5570158858,6.4698565225,4.4601683493,8.0767506123,9.2264295454
20131107 9:00,1.504109892,3.7729695288,4.0617293894,1.9777997022,5.5559471526,5.8974774628
20131107 10:00,0.4116175924,1.7018410516,1.7509117646,0.3290781575,2.6153254357,2.6359475656
20131107 11:00,-0.2881029266,0.1186008174,0.3115597057,0.9817744884,-1.1497814598,1.5119122168
20131107 12:00,-0.9041897665,-3.536272432,3.650038609,0.3041377286,-6.7759774109,6.7827995423
20131107 13:00,0.3183507147,-3.9066033217,3.9195531239,1.0974556267,-6.3858305193,6.4794475285
20131107 14:00,0.8249693883,-4.1074094445,4.1894375322,1.9841674713,-7.1004685149,7.3724876186
20131107 15:00,2.484944662,-0.9994553837,2.6784064361,4.4431876317,-2.4262814837,5.0624853747
20131107 16:00,4.9689962916,1.9944730898,5.3543297481,7.6541351911,3.2074901353,8.2990227432
20131107 17:00,5.4948813625,2.1745931547,5.9095326868,7.8016551749,3.865941928,8.7069702227
20131107 18:00,5.042996772,3.7285701851,6.2716865409,7.1792057471,6.3046756533,9.5545764036
20131107 19:00,4.4899635959,3.8668135962,5.9255396784,6.2654308839,6.6222223951,9.1164386474
20131107 20:00,4.4579988913,4.2477397839,6.1576819816,6.2537566406,6.788255781,9.2298368712
20131107 21:00,4.5928636722,4.0393655912,6.1164426827,6.3163730366,6.3640183844,8.9664540557
20131107 22:00,4.7986638248,4.6851742272,6.7065663378,6.5503885503,6.725125216,9.3880189248
20131107 23:00,4.8253740574,5.2356251818,7.1201127686,6.5705531524,7.3210777495,9.8371920863
20131108 0:00,4.5972423988,5.693745683,7.3180173255,6.1157883105,7.7465777574,9.8697686706
20131108 1:00,3.5999501216,6.1969101064,7.1666823388,4.6462014751,8.2632281035,9.4798801067
20131108 2:00,3.2079899596,6.3942565174,7.1538602161,4.1741463937,8.4504746513,9.4251801016
20131108 3:00,4.0906226094,5.8847805788,7.1668567582,5.3454108812,7.8133251353,9.4668615264
20131108 4:00,4.6400409691,5.8153065871,7.4396082489,6.1037750595,7.7244948618,9.8449931867
20131108 5:00,4.5880364268,5.9733850898,7.5320254703,6.0682821962,7.8855396742,9.9501650623
20131108 6:00,4.0968824154,5.7433154219,7.0547939418,5.4725936412,7.6580319233,9.412477575
20131108 7:00,3.6254708692,5.6209807844,6.6887565363,4.8124263846,7.6164925868,9.0094620834
20131108 8:00,3.1400951404,5.453337022,6.2927801619,4.1711886551,7.5410827143,8.6178154599
20131108 9:00,2.6234203814,4.9821221222,5.6306194453,3.6192746315,7.3276344311,8.1727214081
20131108 10:00,1.8862078408,4.5365823932,4.9130804826,2.691727805,7.3365813651,7.8147824476
20131108 11:00,1.3651993699,4.0996010544,4.3209371813,1.9091101702,6.9461116016,7.2036912776
20131108 12:00,1.0281328915,3.7356177504,3.8745189662,1.4045199642,6.533274503,6.6825408387
20131108 13:00,0.8234853868,3.4879278672,3.583820446,1.1075630083,6.3217434199,6.4180320726
20131108 14:00,0.3539999348,3.3892546616,3.4076917577,0.2894525102,6.1229936712,6.1298315029
20131108 15:00,-0.0740744928,2.825407773,2.8263786218,-0.5529114444,5.5126849573,5.5403435367
20131108 16:00,-0.2411631613,2.4372596023,2.4491619055,-0.9338681767,5.0346630537,5.1205411663
20131108 17:00,-0.4015105003,2.4725000328,2.5048886391,-1.1308535678,5.1445825289,5.2674053564
20131108 18:00,-0.5724513572,2.6411506647,2.702476159,-1.3059516932,5.2206314681,5.3814963301
20131108 19:00,-0.5743774514,2.3546963079,2.4237376424,-1.3846275401,4.9669219818,5.1563075352
20131108 20:00,-0.5849709693,2.2625677537,2.3369646714,-1.4289936191,4.6703950255,4.8841183911
20131108 21:00,-0.7809510503,2.9356599771,3.0377597081,-1.1994731034,4.0824536467,4.2550162753
20131108 22:00,-0.8276588337,3.9359847698,4.0220635565,-1.1255296383,5.1260495941,5.248161717
20131108 23:00,-0.3133916924,4.3820279335,4.3932201359,-0.4452497592,5.6404983006,5.6580445762
20131109 0:00,-0.0071427206,4.1252762253,4.1252824089,-0.0358987363,5.2449160033,5.245038856
20131109 1:00,0.8296733426,4.0330974556,4.1175518141,0.9964788733,5.0761360927,5.1730192128
20131109 2:00,1.5675891792,4.0131546867,4.308450577,1.9137168256,5.0287449851,5.3805750821
20131109 3:00,1.9875760347,4.2139421093,4.65915943,2.4565853206,5.2891173056,5.8317727416
20131109 4:00,2.3236723861,4.5284939631,5.0898635474,2.8755381808,5.737381429,6.4176526465
20131109 5:00,2.4855757159,4.6776114845,5.2969930942,3.0623950903,5.9888330704,6.7263946683
20131109 6:00,2.3092453567,4.8203835795,5.3449707175,2.8506239262,6.2402847117,6.8605546461
20131109 7:00,2.0153614247,5.0402072814,5.4282014619,2.4860890431,6.6026872991,7.0552192241
20131109 8:00,1.476217993,5.4911858038,5.6861534533,1.8645439546,7.344218747,7.5772074779
20131109 9:00,1.3207266763,5.2903983812,5.452763885,1.8081590626,7.8671935577,8.0723090668
20131109 10:00,1.0396667704,4.3490090436,4.4715530473,1.4436241795,7.2438611074,7.386309939
20131109 11:00,0.5913601905,3.9773483518,4.0210703533,0.7289784554,6.9862764992,7.0242059275
20131109 12:00,0.1649613219,3.7099339516,3.7135996234,-0.0164822678,6.6835309532,6.6835512766
20131109 13:00,-0.8411903945,3.5961695203,3.6932420038,-1.8955415753,6.3724222705,6.6483714891
20131109 14:00,-2.5035047808,3.6505588899,4.426524189,-4.1686394885,5.9949660372,7.3018609253
20131109 15:00,-2.5815176064,3.3695471473,4.2447710339,-4.2040439556,5.5076739428,6.9288135955
20131109 16:00,-2.4602236926,3.0377719932,3.9090611789,-4.2886212936,5.3398536678,6.8488181311
20131109 17:00,-2.2651916287,3.0296135877,3.7828100145,-4.0794726826,5.4563800382,6.8127953506
20131109 18:00,-2.1925221473,3.06134072,3.7654960324,-4.0237434289,5.5952081063,6.8917969307
20131109 19:00,-2.1930564817,3.0137500216,3.72722228,-4.1011087458,5.5611980173,6.9098492265
20131109 20:00,-2.4067902505,2.9670658128,3.8204867291,-4.3843444823,5.4022984213,6.9575358262
20131109 21:00,-2.881279217,3.1497234454,4.2687852733,-4.2512499117,4.6468284123,6.2981060729
20131109 22:00,-3.5299612052,3.4271092301,4.9199292459,-4.7174087281,4.539222721,6.5466394446
20131109 23:00,-3.5737766277,3.3396329941,4.8913216946,-4.6157847948,4.3039398104,6.3110511932
20131110 0:00,-3.0950129858,3.3659211893,4.5725846996,-3.9391660909,4.264354297,5.8053205822
20131110 1:00,-2.6473749269,4.1678572039,4.9375730552,-3.3769699168,5.2785823821,6.2663671919
20131110 2:00,-2.1802450329,4.3414861552,4.8581859206,-2.786362235,5.4746754961,6.1429541991
20131110 3:00,-1.739943545,4.3660100184,4.699941172,-2.2454074114,5.4826169618,5.9246048976
20131110 4:00,-1.4269454742,4.4807816981,4.7025076302,-1.8553711436,5.6402245113,5.937552915
20131110 5:00,-1.2196828861,4.7397536933,4.8941691241,-1.6201733942,5.9939251748,6.209033808
20131110 6:00,-0.9898002694,4.9771446889,5.074610707,-1.3732157574,6.3580108319,6.5046155348
20131110 7:00,-0.8972159661,5.079654437,5.1582832114,-1.2889365638,6.5938112743,6.7186088282
20131110 8:00,-1.1923284329,4.7946871468,4.9407157303,-1.6659062899,6.4435343084,6.655402178
20131110 9:00,-0.6983701329,3.8416898235,3.9046512703,-1.3229095721,6.1026621664,6.2444035146
20131110 10:00,0.6725088127,3.4115412633,3.4771945437,0.6952177832,6.2688220636,6.3072543813
20131110 11:00,-0.7062608405,3.8662136867,3.9301924439,-1.8396912937,6.6512341799,6.9009695096
20131110 12:00,-2.4169662629,4.183061999,4.8311213609,-4.0231104006,6.674447695,7.7931809506
20131110 13:00,-2.2644125814,3.6386322364,4.28569818,-4.0897497629,6.2413323747,7.4619222011
20131110 14:00,-2.3959243758,3.1452121092,3.9538352048,-4.4673728161,5.5718057301,7.1415991887
20131110 15:00,-2.3790908661,2.8107066154,3.6824102198,-4.586278345,5.1900044958,6.9260447388
20131110 16:00,-2.2549437322,2.5841061196,3.4296320025,-4.5078790952,4.9835263882,6.7198593139
20131110 17:00,-2.0613583707,2.3604484873,3.1338339768,-4.306654354,4.7526130017,6.4136262807
20131110 18:00,-1.8425227447,2.060276402,2.7639878649,-4.0936697254,4.4050211579,6.0135133842
20131110 19:00,-1.668927176,1.8047377476,2.4581286086,-3.8976716009,4.1038563442,5.6598127887
20131110 20:00,-1.7778189418,1.8743855191,2.583401104,-3.8989782551,4.1441745546,5.6900100327
20131110 21:00,-2.1076505224,2.12158606,2.9905381011,-3.5115552956,3.596213423,5.026307947
20131110 22:00,-2.2638865342,2.3163055336,3.2388969673,-2.962760547,3.0128211369,4.2255226023
20131110 23:00,-2.1965524954,3.3497411281,4.0056970043,-2.7844022537,4.2284762671,5.0628951651
20131111 0:00,-2.0923951542,3.6386322364,4.1973517881,-2.6360970062,4.5968380981,5.2990497191
20131111 1:00,-1.4703334277,3.5150991244,3.8102233849,-1.830265594,4.3844266783,4.7511124425
20131111 2:00,-0.7748791418,3.7426104608,3.8219851839,-1.0042318048,4.6598351959,4.7668171321
20131111 3:00,-0.2259391015,4.1430304129,4.1491866046,-0.3531228181,5.1810316354,5.1930515626
20131111 4:00,-0.0828435216,4.4114937898,4.4122715813,-0.191560327,5.5364787841,5.5397917547
20131111 5:00,-0.0774713326,4.527271781,4.5279345829,-0.2037078827,5.7116814566,5.7153129366
20131111 6:00,-0.2430324302,4.5823800825,4.5888203258,-0.4168974856,5.8276429377,5.8425358983
20131111 7:00,-0.4339893303,4.6850129743,4.7050710205,-0.6513453111,6.0677588307,6.1026181219
20131111 8:00,-1.0640005865,4.2866153452,4.4166920162,-1.5180734119,6.048221842,6.2358266761
20131111 9:00,-0.9047884396,3.0474369329,3.1789171082,-1.600069413,5.0808257904,5.3268201432
20131111 10:00,-0.1101928474,2.7203261893,2.7225570774,-1.1281368732,5.7135721329,5.8238818088
20131111 11:00,-1.7877809599,3.2633199121,3.7209431075,-3.7981696211,5.9984340322,7.0998100896
20131111 12:00,-2.5887255027,2.9705886593,3.94029145,-4.6169148768,5.3140092035,7.0395025957
20131111 13:00,-1.9264811124,2.4038326413,3.0805422971,-3.880773,4.8646584642,6.2229656154
20131111 14:00,-1.5391951231,2.102000935,2.6052887667,-3.4203806381,4.547024842,5.6898540072
20131111 15:00,-1.1611883694,1.7379827968,2.0902015767,-3.0012899657,4.0661628307,5.0538521569
20131111 16:00,-0.8041819909,1.7127037594,1.8921053993,-2.4467540469,4.0163750208,4.7029643497
20131111 17:00,-0.5287352091,1.7951134213,1.8713613004,-1.9553854179,4.2142658092,4.6458119251
20131111 18:00,-0.3900350566,1.8380877848,1.8790141165,-1.5569455902,4.402703216,4.6698902749
20131111 19:00,-0.359267065,1.8173589741,1.8525297474,-1.3504371429,4.4770698181,4.6763056608
20131111 20:00,-0.2625676629,1.7890464523,1.8082115435,-1.0995901172,4.3352690939,4.4725447502
20131111 21:00,-0.0227726809,2.1429529756,2.1430739722,-0.5687419322,3.8147028798,3.8568673099
20131111 22:00,0.0968806197,2.5388227009,2.5406704944,-0.0518634361,3.2682974226,3.2687088978
20131111 23:00,0.6023547671,3.3401681858,3.3940469612,0.6186816398,4.1985101732,4.2438490367
20131112 0:00,1.225040311,3.6526170878,3.8525751587,1.4271014731,4.6100473861,4.8258839104
20131112 1:00,1.9134045415,3.6489524288,4.1201906226,2.3156894865,4.5839415019,5.1356535602
20131112 2:00,2.2765752792,3.5699205971,4.2340439383,2.7677736011,4.4783393213,5.2646076571
20131112 3:00,2.6496657032,3.6589705483,4.5176093027,3.2629459142,4.5923896764,5.6335476371
20131112 4:00,2.8800228631,3.62390713,4.6289561003,3.5679830022,4.5600050077,5.7900041773
20131112 5:00,3.0894384629,3.6188980703,4.7582615795,3.8566055383,4.5846455165,5.9910250199
20131112 6:00,3.1654893913,3.8187038982,4.9601232392,3.9968131684,4.903564102,6.3260932972
20131112 7:00,3.0200006588,4.1604330857,5.1409733942,3.8504500814,5.4245348598,6.6521834216
20131112 8:00,2.7224100695,4.6958459171,5.4279356539,3.5727705798,6.3334176279,7.2716482633
20131112 9:00,2.112900455,4.9874845071,5.4165810288,3.048872801,7.7428547321,8.3215037559
